name,company,price,save
Grand Theft Auto V [PC Download] with GTA Online,Rockstar Games,$14.99,50%
Final Fantasy XIV Online Complete Edition PC [Game Download],SQUARE ENIX USA,$44.99,25%
FINAL FANTASY XIV: Stormblood Collector's Edition PC [Game Download],SQUARE ENIX USA,$44.99,25%
Final Fantasy XIV: Stormblood PC [Game Download],SQUARE ENIX USA,$29.99,25%
FINAL FANTASY XIV Online Starter Edition PC [Online Game Code],SQUARE ENIX USA,$15.99,20%
Lego batman PC Game,Warner Brothers,  $19,0%
Call of Duty: Black Ops 4 - PC (Product Key Card),Activision,  $49,17%
Borderlands: Game of The Year + Borderlands 2: Game of The Year [Online Game Code],2K GAMES,$59.97,14%
Fallout 4 - Game Of The Year [Online Game Code],Bethesda Softworks,$50.99,15%
Cities: Skylines - All That Jazz [Online Game Code],Paradox Interactive,$3.99 ,0%
Borderlands: Game of the Year [Online Game Code],2K GAMES,$29.99,0%
Cities: Skylines - Content Creator Pack: High-Tech Buildings [Online Game Code],Paradox Interactive,$4.99 ,0%
Cities: Skylines - Natural Disasters [Online Game Code],Paradox Interactive,$14.99,0%
Cities: Skylines - Relaxation Station [Online Game Code],Paradox Interactive,$3.99 ,0%
Cities: Skylines - Content Creator Pack: European Suburbia [Online Game Code],Paradox Interactive,$4.99 ,0%
Cities: Skylines - Green Cities [Online Game Code],Paradox Interactive,$12.99,0%
Bioshock Infinite: Burial at Sea Episode Two [Online Game Code],2K GAMES,$14.99,0%
Borderlands 2 Game of the Year Edition [Online Game Code],2K GAMES,$39.99,0%
XCOM 2: War of the Chosen [Online Game Code],2K GAMES,$39.99,0%
The Evil Within 2 - PC,Bethesda Softworks,  $39,33%
BioShock: The Collection [Online Game Code],2K GAMES,$49.99,17%
BioShock [Online Game Code],2K GAMES,$19.99,0%
BioShock Infinite [Online Game Code],2K GAMES,$29.99,0%
Fallout 4 VR [Online Game Code],Bethesda Softworks,$50.99,15%
Fable: The Lost Chapters PC Game,Microsoft,  $19,0%
Cities: Skylines - Rock City Radio [Online Game Code],Paradox Interactive,$3.99 ,0%
Cities: Skylines - Mass Transit [Online Game Code],Paradox Interactive,$12.99,0%
BioShock Infinite - Season Pass [Online Game Code],2K GAMES,$19.99,0%
Cities: Skylines - Concerts [Online Game Code],Paradox Interactive,$6.99 ,0%
